Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2022-12-28,101.7248,101.2601,101.0532,101.5802,101.3593,0.0,0.0,0.0,0.0,0.0
2022-12-27,101.7353,101.2503,101.0563,101.5502,101.3623,0.0,0.0,0.0,0.0,0.0
2022-12-26,101.7353,101.2995,101.0594,101.6202,101.3653,0.0,0.0,0.0,0.0,0.0
2022-12-23,101.8148,101.3298,101.0626,101.6594,101.3682,0.0,0.0,0.0,0.0,0.0
2022-12-22,101.8052,101.3399,101.072,101.6602,101.3771,0.0,0.0,0.0,0.0,0.0
2022-12-21,101.7551,101.3605,101.0752,101.6999,101.3801,0.0,0.0,0.0,0.0,0.0
2022-12-20,101.8249,101.3904,101.0784,101.7397,101.3831,0.0,0.0,0.0,0.0,0.0
2022-12-19,101.77,101.4158,101.0815,101.7566,101.3861,0.0,0.0,0.0,0.0,0.0
2022-12-16,101.7752,101.42,101.0847,101.7603,101.3891,0.0,0.0,0.0,0.0,0.0
2022-12-15,101.8547,101.4296,101.0942,101.7896,101.3981,0.0,0.0,4.005,0.0,0.0
2022-12-14,102.1346,101.4197,101.0974,101.7602,101.4011,0.0,0.0,0.0,0.0,0.0
2022-12-13,101.7749,101.42,101.0999,101.7601,101.4041,0.0,0.0,0.0,0.0,0.0
2022-12-12,102.1405,101.4298,101.1023,101.7699,101.4071,0.0,0.0,0.0,0.0,0.0
2022-12-09,101.7704,101.4596,101.1047,101.7995,101.4101,0.0,0.0,0.0,0.0,0.0
2022-12-08,101.7795,101.4598,101.1121,101.7895,101.4192,0.0,0.0,0.0,0.0,0.0
2022-12-07,101.7996,101.4697,101.1145,101.8093,101.4222,0.0,4.15,0.0,0.0,0.0
2022-12-06,101.8674,101.4797,101.117,101.8205,101.4252,0.0,0.0,0.0,0.0,0.0
2022-12-05,101.8803,101.5169,101.1195,101.8667,101.4283,0.0,0.0,0.0,0.0,0.0
2022-12-02,101.8004,101.5205,101.1219,101.8705,101.4313,0.0,0.0,0.0,0.0,0.0
2022-12-01,101.8397,101.4103,101.1294,101.7197,101.4405,0.0,0.0,0.0,0.0,0.0
2022-11-30,101.9,101.4204,101.1318,101.7396,101.4435,0.0,0.0,0.0,0.0,0.0
2022-11-29,101.8626,101.4099,101.1343,101.7204,101.4466,0.0,0.0,0.0,0.0,0.0
2022-11-28,101.8499,101.42,101.1368,101.7302,101.4496,0.0,0.0,0.0,0.0,0.0
2022-11-25,101.8542,101.3908,101.1393,101.6894,101.4527,4.415,0.0,0.0,0.0,0.0
2022-11-24,101.8701,101.4003,101.1468,101.6997,101.4619,0.0,0.0,0.0,0.0,0.0
2022-11-23,101.75,101.4005,101.1493,101.7006,101.465,0.0,0.0,0.0,0.0,0.0
2022-11-22,101.7803,101.3997,101.1518,101.7002,101.4681,0.0,0.0,0.0,0.0,0.0
2022-11-21,101.9457,101.4369,101.1543,101.7459,101.4712,0.0,0.0,0.0,0.0,0.0
2022-11-18,101.9503,101.4401,101.1569,101.7495,101.4743,0.0,0.0,0.0,0.0,0.0
2022-11-17,101.9103,101.4297,101.1644,101.7303,101.4836,0.0,0.0,0.0,0.0,0.0
